0,1,2,3,4,5,6
1.68,1.25,1,0.88,0.81,0.77,0.74
1.72,1.3,1.05,0.93,0.86,0.82,0.79
1.84,1.34,1.05,0.92,0.84,0.79,0.76
1.88,1.37,1.07,0.93,0.86,0.81,0.77
1.74,1.31,1.07,0.94,0.87,0.83,0.8
1.77,1.31,1.05,0.92,0.85,0.81,0.77
1.7,1.27,1.02,0.89,0.82,0.78,0.75
1.71,1.24,0.98,0.85,0.78,0.73,0.7
1.79,1.29,1.01,0.87,0.8,0.75,0.72
1.78,1.28,1.01,0.87,0.8,0.75,0.72
1.72,1.25,0.98,0.86,0.78,0.74,0.71
1.57,1.22,1,0.9,0.84,0.8,0.77
1.75,1.32,1.07,0.95,0.88,0.83,0.8
1.69,1.24,0.98,0.86,0.79,0.75,0.71
1.64,1.22,0.98,0.86,0.8,0.75,0.72
1.71,1.32,1.09,0.98,0.91,0.87,0.84
1.66,1.27,1.04,0.93,0.86,0.82,0.79
1.77,1.34,1.09,0.97,0.9,0.85,0.82
1.89,1.37,1.07,0.93,0.85,0.8,0.77
1.89,1.37,1.07,0.93,0.85,0.8,0.77
1.56,1.2,0.99,0.88,0.82,0.78,0.76
1.74,1.32,1.08,0.95,0.88,0.84,0.81
1.56,1.2,0.98,0.87,0.81,0.77,0.75
1.71,1.28,1.03,0.91,0.84,0.8,0.76
1.6,1.24,1.03,0.92,0.86,0.82,0.79
1.77,1.27,1,0.86,0.79,0.74,0.71
1.76,1.3,1.03,0.91,0.83,0.79,0.76
1.68,1.31,1.09,0.98,0.92,0.87,0.85
1.73,1.28,1.02,0.89,0.82,0.77,0.74
1.75,1.29,1.02,0.89,0.82,0.77,0.74
1.72,1.31,1.06,0.94,0.88,0.83,0.8
1.77,1.32,1.07,0.94,0.87,0.82,0.79
1.59,1.21,0.99,0.88,0.82,0.78,0.75
1.55,1.2,1,0.89,0.83,0.8,0.77
1.59,1.21,0.99,0.88,0.82,0.78,0.75
1.55,1.2,1,0.89,0.83,0.79,0.77
1.63,1.23,1,0.88,0.82,0.78,0.75
1.77,1.3,1.04,0.91,0.84,0.79,0.76
1.77,1.3,1.04,0.91,0.84,0.79,0.76
1.73,1.34,1.1,0.99,0.92,0.88,0.85
1.67,1.23,0.98,0.86,0.79,0.75,0.72
1.76,1.32,1.06,0.94,0.86,0.82,0.79
1.69,1.26,1.02,0.9,0.83,0.79,0.76
1.66,1.24,1,0.88,0.81,0.77,0.74
1.94,1.38,1.08,0.93,0.85,0.8,0.76
1.76,1.29,1.02,0.89,0.82,0.77,0.74
1.73,1.3,1.05,0.92,0.85,0.81,0.78
1.77,1.28,1.01,0.87,0.8,0.75,0.72
1.7,1.22,0.96,0.83,0.76,0.71,0.68
1.77,1.27,0.99,0.85,0.78,0.73,0.7
1.74,1.25,0.97,0.84,0.77,0.72,0.69
1.67,1.28,1.05,0.94,0.87,0.83,0.8
1.63,1.23,0.99,0.88,0.81,0.77,0.74
1.74,1.26,0.99,0.86,0.79,0.74,0.71
1.54,1.2,0.99,0.89,0.83,0.79,0.77
1.54,1.2,0.99,0.89,0.83,0.79,0.77
1.74,1.3,1.04,0.92,0.85,0.8,0.77
1.67,1.27,1.03,0.92,0.85,0.81,0.78
1.58,1.21,0.99,0.89,0.82,0.78,0.76
1.82,1.36,1.09,0.96,0.89,0.84,0.81
1.76,1.3,1.04,0.91,0.84,0.79,0.76
1.74,1.26,0.99,0.86,0.79,0.74,0.71
1.74,1.26,0.99,0.86,0.79,0.74,0.71
1.74,1.26,0.99,0.86,0.79,0.74,0.71
1.64,1.23,1,0.88,0.81,0.77,0.74
1.7,1.32,1.09,0.98,0.91,0.87,0.84
1.75,1.35,1.11,0.99,0.92,0.88,0.85
1.72,1.3,1.06,0.94,0.87,0.82,0.79
1.74,1.27,1.01,0.88,0.8,0.76,0.73
1.79,1.36,1.1,0.98,0.91,0.86,0.83
1.66,1.24,1.01,0.89,0.82,0.78,0.75
1.75,1.26,0.98,0.85,0.77,0.73,0.7
1.71,1.32,1.09,0.97,0.9,0.86,0.83
1.72,1.3,1.06,0.94,0.87,0.83,0.8
1.66,1.27,1.04,0.93,0.86,0.82,0.79
1.73,1.24,0.97,0.84,0.76,0.72,0.69
1.67,1.23,0.97,0.85,0.78,0.74,0.71
1.71,1.33,1.1,0.98,0.91,0.87,0.84
1.67,1.24,0.99,0.87,0.8,0.76,0.73
1.82,1.36,1.09,0.96,0.88,0.84,0.8
1.7,1.26,1.01,0.89,0.82,0.77,0.74
1.81,1.31,1.03,0.9,0.82,0.78,0.74
1.69,1.24,0.98,0.86,0.79,0.74,0.71
1.8,1.29,1.01,0.87,0.8,0.75,0.72
1.71,1.26,1,0.88,0.81,0.76,0.73
1.74,1.24,0.97,0.83,0.76,0.72,0.68
1.78,1.29,1.02,0.89,0.81,0.77,0.73
1.78,1.33,1.07,0.94,0.86,0.82,0.79
1.77,1.32,1.06,0.93,0.86,0.82,0.79
1.77,1.32,1.06,0.93,0.86,0.82,0.79
1.87,1.35,1.06,0.92,0.84,0.79,0.75
1.7,1.26,1,0.88,0.81,0.77,0.74
1.69,1.31,1.08,0.96,0.9,0.86,0.83
1.68,1.26,1.02,0.9,0.84,0.79,0.76
1.6,1.24,1.02,0.92,0.85,0.81,0.79
1.65,1.24,1,0.88,0.81,0.77,0.74
1.75,1.27,1,0.87,0.8,0.75,0.72
1.71,1.31,1.07,0.95,0.88,0.84,0.81
1.84,1.34,1.05,0.92,0.84,0.79,0.76
1.73,1.31,1.06,0.94,0.87,0.83,0.8
1.76,1.27,0.99,0.86,0.79,0.74,0.71
1.73,1.28,1.02,0.9,0.83,0.78,0.75
1.73,1.28,1.02,0.9,0.83,0.78,0.75
1.71,1.23,0.96,0.83,0.76,0.72,0.69
1.81,1.29,1.01,0.87,0.79,0.75,0.71
1.7,1.23,0.97,0.84,0.77,0.73,0.7
1.77,1.35,1.11,0.98,0.92,0.87,0.84
1.64,1.25,1.02,0.9,0.84,0.8,0.77
1.77,1.28,1.01,0.87,0.8,0.75,0.72
1.64,1.28,1.06,0.95,0.89,0.85,0.82
1.74,1.29,1.02,0.9,0.82,0.78,0.75
1.69,1.29,1.06,0.94,0.87,0.83,0.8
1.66,1.3,1.08,0.97,0.9,0.86,0.83
1.72,1.25,0.98,0.86,0.78,0.74,0.71
1.74,1.25,0.97,0.84,0.77,0.72,0.69
1.73,1.34,1.11,1,0.93,0.89,0.86
1.83,1.32,1.04,0.9,0.82,0.78,0.74
1.63,1.25,1.03,0.92,0.86,0.81,0.79
1.79,1.32,1.06,0.93,0.85,0.8,0.77
1.79,1.32,1.06,0.93,0.85,0.8,0.77
1.59,1.22,1.01,0.9,0.84,0.8,0.77
1.84,1.36,1.09,0.96,0.88,0.84,0.8
1.57,1.21,1,0.9,0.84,0.8,0.77
1.7,1.28,1.04,0.92,0.85,0.81,0.78
1.71,1.33,1.1,0.98,0.91,0.87,0.84
1.62,1.23,0.99,0.88,0.82,0.77,0.75
1.54,1.2,0.99,0.89,0.83,0.8,0.77
1.68,1.28,1.05,0.94,0.87,0.83,0.8
1.69,1.29,1.05,0.93,0.86,0.82,0.79
1.61,1.21,0.98,0.87,0.8,0.76,0.73
1.85,1.32,1.03,0.9,0.82,0.77,0.74
1.82,1.32,1.04,0.9,0.83,0.78,0.75
1.81,1.31,1.03,0.9,0.82,0.77,0.74
1.72,1.34,1.1,0.99,0.92,0.88,0.85
1.72,1.29,1.04,0.92,0.85,0.8,0.77
1.72,1.29,1.04,0.92,0.85,0.8,0.77
1.67,1.23,0.98,0.86,0.79,0.74,0.71
1.79,1.3,1.02,0.89,0.81,0.76,0.73
1.79,1.3,1.02,0.89,0.81,0.76,0.73
1.8,1.32,1.04,0.91,0.83,0.79,0.75
1.64,1.28,1.06,0.95,0.88,0.84,0.82
1.78,1.29,1.02,0.89,0.81,0.77,0.74
1.6,1.22,0.99,0.88,0.82,0.78,0.75
1.75,1.27,1,0.87,0.79,0.75,0.71
1.75,1.27,1,0.87,0.79,0.75,0.71
1.82,1.32,1.04,0.91,0.83,0.78,0.75
1.55,1.2,0.99,0.88,0.82,0.79,0.76
1.67,1.29,1.06,0.94,0.88,0.84,0.81
1.77,1.27,0.99,0.86,0.78,0.74,0.7
1.67,1.24,0.99,0.87,0.8,0.76,0.73
1.6,1.21,0.98,0.87,0.8,0.76,0.73
1.89,1.36,1.07,0.93,0.85,0.8,0.77
1.67,1.29,1.07,0.96,0.89,0.85,0.82
1.89,1.36,1.06,0.92,0.84,0.79,0.76
1.66,1.24,1,0.88,0.81,0.77,0.74
1.68,1.24,0.99,0.86,0.79,0.75,0.72
1.63,1.21,0.97,0.85,0.79,0.74,0.71
1.6,1.22,1,0.89,0.82,0.78,0.76
1.71,1.27,1.02,0.9,0.83,0.79,0.76
1.6,1.25,1.04,0.93,0.87,0.83,0.81
1.79,1.35,1.09,0.96,0.89,0.84,0.81
1.78,1.31,1.04,0.91,0.84,0.79,0.76
1.79,1.29,1.01,0.88,0.8,0.76,0.72
1.68,1.3,1.07,0.96,0.89,0.85,0.82
1.83,1.35,1.08,0.94,0.87,0.82,0.79
1.83,1.35,1.08,0.94,0.87,0.82,0.79
1.83,1.35,1.08,0.94,0.87,0.82,0.79
1.81,1.35,1.08,0.95,0.88,0.83,0.8
1.68,1.28,1.05,0.93,0.86,0.82,0.79
1.82,1.32,1.04,0.9,0.83,0.78,0.75
1.77,1.34,1.09,0.97,0.9,0.86,0.82
1.61,1.25,1.04,0.94,0.87,0.83,0.81
1.85,1.33,1.04,0.9,0.82,0.77,0.74
1.68,1.3,1.07,0.96,0.9,0.86,0.83
1.85,1.33,1.04,0.9,0.82,0.77,0.74
1.86,1.35,1.06,0.92,0.85,0.8,0.76
1.69,1.23,0.97,0.85,0.78,0.73,0.7
1.69,1.3,1.07,0.96,0.89,0.85,0.82
1.79,1.35,1.09,0.96,0.89,0.84,0.81
1.75,1.26,0.98,0.85,0.78,0.73,0.7
1.66,1.27,1.04,0.92,0.86,0.82,0.79
1.8,1.35,1.09,0.96,0.89,0.84,0.81
1.9,1.36,1.06,0.92,0.84,0.79,0.75
1.74,1.31,1.06,0.94,0.87,0.82,0.79
1.75,1.32,1.07,0.95,0.88,0.83,0.8
1.66,1.22,0.97,0.84,0.77,0.73,0.7
1.73,1.28,1.02,0.89,0.82,0.78,0.74
1.79,1.35,1.09,0.97,0.9,0.85,0.82
1.75,1.31,1.06,0.93,0.86,0.82,0.78
1.7,1.27,1.03,0.91,0.84,0.79,0.76
1.7,1.26,1,0.88,0.81,0.77,0.74
1.65,1.22,0.98,0.86,0.79,0.75,0.72
1.84,1.31,1.02,0.88,0.81,0.76,0.72
1.75,1.29,1.03,0.9,0.83,0.78,0.75
1.63,1.21,0.98,0.86,0.79,0.75,0.72
1.69,1.22,0.96,0.83,0.76,0.72,0.69
1.61,1.24,1.01,0.9,0.84,0.8,0.77
1.65,1.28,1.06,0.95,0.88,0.84,0.81
1.71,1.3,1.06,0.94,0.87,0.82,0.79
1.63,1.22,0.99,0.87,0.8,0.76,0.73
1.88,1.37,1.08,0.94,0.86,0.81,0.77
1.88,1.37,1.08,0.94,0.86,0.81,0.77
1.67,1.24,0.99,0.86,0.8,0.75,0.72
1.67,1.24,0.99,0.86,0.8,0.75,0.72
1.76,1.34,1.09,0.97,0.9,0.86,0.83
1.76,1.34,1.09,0.97,0.9,0.86,0.83
1.76,1.34,1.09,0.97,0.9,0.86,0.83
1.76,1.34,1.09,0.97,0.9,0.86,0.83
1.79,1.35,1.09,0.96,0.89,0.84,0.81
1.71,1.31,1.07,0.95,0.89,0.84,0.81
1.69,1.22,0.96,0.84,0.77,0.72,0.69
1.9,1.36,1.06,0.92,0.84,0.79,0.75
1.74,1.32,1.07,0.95,0.88,0.83,0.8
1.78,1.31,1.05,0.92,0.84,0.8,0.77
1.85,1.37,1.09,0.96,0.88,0.83,0.8
1.77,1.28,1,0.87,0.8,0.75,0.72
1.85,1.36,1.08,0.94,0.86,0.81,0.78
1.85,1.36,1.08,0.94,0.86,0.81,0.78
1.78,1.27,0.99,0.86,0.79,0.74,0.71
1.67,1.29,1.06,0.95,0.88,0.84,0.81
1.67,1.29,1.06,0.95,0.88,0.84,0.81
1.67,1.29,1.06,0.95,0.88,0.84,0.81
1.73,1.3,1.05,0.93,0.86,0.82,0.78
1.71,1.23,0.96,0.83,0.76,0.72,0.68
1.7,1.27,1.02,0.9,0.83,0.78,0.75
1.72,1.25,0.99,0.86,0.79,0.74,0.71
1.74,1.27,1.01,0.88,0.81,0.76,0.73
1.74,1.26,0.99,0.86,0.78,0.74,0.71
1.61,1.22,0.99,0.87,0.81,0.77,0.74
1.6,1.21,0.98,0.86,0.8,0.76,0.73
1.71,1.28,1.04,0.91,0.84,0.8,0.77
1.71,1.28,1.04,0.91,0.84,0.8,0.77
1.58,1.23,1.01,0.91,0.84,0.81,0.78
1.66,1.29,1.07,0.96,0.89,0.85,0.82
1.7,1.23,0.96,0.83,0.76,0.72,0.69
1.75,1.34,1.1,0.98,0.91,0.87,0.84
1.7,1.27,1.01,0.89,0.82,0.78,0.75
1.74,1.29,1.03,0.91,0.84,0.79,0.76
1.6,1.25,1.04,0.93,0.87,0.83,0.8
1.62,1.26,1.04,0.94,0.87,0.83,0.81
1.71,1.29,1.05,0.93,0.86,0.81,0.78
1.7,1.33,1.1,0.99,0.93,0.88,0.85
1.59,1.2,0.98,0.87,0.81,0.77,0.74
1.59,1.2,0.98,0.87,0.81,0.77,0.74
1.69,1.32,1.1,0.99,0.92,0.88,0.85
1.64,1.25,1.01,0.9,0.83,0.79,0.76
1.82,1.32,1.04,0.9,0.83,0.78,0.74
1.64,1.27,1.05,0.94,0.88,0.84,0.81
1.64,1.27,1.05,0.94,0.88,0.84,0.81
1.77,1.35,1.1,0.97,0.9,0.86,0.82
1.79,1.3,1.02,0.88,0.81,0.76,0.73
1.68,1.22,0.96,0.84,0.77,0.72,0.69
1.67,1.22,0.97,0.85,0.78,0.73,0.7
1.7,1.24,0.98,0.86,0.79,0.74,0.71
1.89,1.36,1.06,0.92,0.84,0.79,0.75
1.68,1.27,1.03,0.91,0.85,0.8,0.77
1.74,1.34,1.1,0.98,0.91,0.87,0.84
1.81,1.34,1.07,0.94,0.87,0.82,0.79
1.81,1.31,1.04,0.9,0.83,0.78,0.75
1.56,1.2,0.99,0.89,0.82,0.79,0.76
1.79,1.35,1.09,0.97,0.89,0.85,0.82
1.75,1.26,0.98,0.85,0.77,0.73,0.69
1.68,1.24,0.99,0.87,0.8,0.76,0.73
1.71,1.27,1.01,0.89,0.82,0.78,0.74
1.56,1.21,1,0.9,0.84,0.8,0.77
1.91,1.37,1.07,0.93,0.85,0.8,0.76
1.71,1.33,1.1,0.98,0.92,0.88,0.85
1.69,1.26,1.01,0.89,0.82,0.78,0.75
1.7,1.25,0.99,0.86,0.79,0.75,0.72
1.76,1.35,1.1,0.98,0.91,0.87,0.84
1.74,1.3,1.04,0.92,0.85,0.8,0.77
1.82,1.36,1.1,0.96,0.89,0.84,0.81
1.68,1.28,1.05,0.93,0.86,0.82,0.79
1.67,1.24,0.99,0.87,0.8,0.76,0.73
1.79,1.28,1,0.87,0.79,0.74,0.71
1.71,1.31,1.08,0.96,0.89,0.85,0.82
1.79,1.28,1,0.86,0.79,0.74,0.71
1.79,1.28,1,0.86,0.79,0.74,0.71
1.79,1.28,1,0.86,0.79,0.74,0.71
1.72,1.28,1.03,0.91,0.84,0.8,0.77
1.89,1.36,1.06,0.91,0.83,0.78,0.75
1.89,1.36,1.06,0.91,0.83,0.78,0.75
1.59,1.23,1.02,0.91,0.85,0.81,0.78
1.63,1.22,0.98,0.86,0.8,0.75,0.72
1.73,1.25,0.98,0.85,0.78,0.73,0.7
1.79,1.3,1.03,0.9,0.82,0.77,0.74
1.66,1.25,1.02,0.9,0.83,0.79,0.76
1.85,1.34,1.05,0.92,0.84,0.79,0.76
1.85,1.34,1.05,0.92,0.84,0.79,0.76
1.72,1.3,1.05,0.93,0.86,0.81,0.78
1.58,1.23,1.02,0.91,0.85,0.81,0.78
1.59,1.23,1.01,0.91,0.85,0.81,0.78
1.54,1.2,0.99,0.89,0.83,0.79,0.77
1.56,1.22,1.01,0.91,0.85,0.81,0.78
1.65,1.23,0.99,0.87,0.8,0.76,0.73
1.65,1.23,0.99,0.87,0.8,0.76,0.73
1.69,1.32,1.09,0.98,0.92,0.87,0.85
1.8,1.29,1,0.87,0.79,0.74,0.71
1.74,1.28,1.01,0.89,0.82,0.77,0.74
1.86,1.35,1.06,0.93,0.85,0.8,0.76
1.86,1.35,1.06,0.93,0.85,0.8,0.76
1.56,1.2,0.99,0.88,0.82,0.78,0.76
1.74,1.27,1,0.87,0.8,0.76,0.72
1.73,1.32,1.08,0.96,0.89,0.85,0.82
1.57,1.22,1.01,0.9,0.84,0.8,0.78
1.63,1.24,1.02,0.91,0.84,0.8,0.77
1.63,1.24,1.02,0.91,0.84,0.8,0.77
1.87,1.34,1.05,0.91,0.83,0.78,0.74
1.63,1.24,1.01,0.9,0.83,0.79,0.76
1.78,1.35,1.1,0.98,0.91,0.86,0.83
1.68,1.3,1.08,0.96,0.9,0.85,0.83
1.78,1.32,1.05,0.93,0.85,0.81,0.77
1.63,1.22,0.99,0.87,0.8,0.76,0.73
1.72,1.24,0.97,0.84,0.77,0.72,0.69
1.6,1.22,1,0.89,0.82,0.78,0.75
1.75,1.27,1,0.87,0.79,0.75,0.72
1.64,1.26,1.04,0.92,0.86,0.82,0.79
1.7,1.33,1.1,0.99,0.93,0.89,0.86
1.83,1.33,1.04,0.91,0.83,0.78,0.75
1.77,1.29,1.01,0.88,0.81,0.76,0.73
1.75,1.29,1.03,0.91,0.83,0.79,0.76
1.75,1.29,1.03,0.91,0.83,0.79,0.76
1.62,1.21,0.98,0.86,0.8,0.76,0.73
1.61,1.24,1.03,0.92,0.85,0.81,0.79
1.63,1.26,1.04,0.93,0.87,0.83,0.8
1.63,1.26,1.04,0.93,0.87,0.83,0.8
1.63,1.26,1.04,0.93,0.87,0.83,0.8
1.67,1.29,1.06,0.95,0.88,0.84,0.81
1.61,1.22,0.99,0.88,0.81,0.77,0.74
1.61,1.25,1.03,0.92,0.86,0.82,0.79
1.62,1.23,1,0.88,0.82,0.78,0.75
1.58,1.21,0.99,0.88,0.82,0.78,0.75
1.68,1.27,1.03,0.91,0.84,0.8,0.77
1.72,1.33,1.1,0.98,0.92,0.88,0.85
1.83,1.33,1.05,0.91,0.84,0.79,0.76
1.74,1.25,0.98,0.85,0.77,0.73,0.7
1.74,1.25,0.98,0.85,0.77,0.73,0.7
1.76,1.35,1.1,0.98,0.91,0.86,0.83
1.85,1.36,1.08,0.94,0.87,0.82,0.79
1.75,1.32,1.08,0.95,0.88,0.84,0.81
1.71,1.23,0.96,0.83,0.76,0.71,0.68
1.77,1.28,1.01,0.88,0.8,0.76,0.73
1.77,1.28,1.01,0.88,0.8,0.76,0.73
1.68,1.28,1.04,0.93,0.86,0.82,0.79
1.73,1.3,1.06,0.93,0.86,0.82,0.79
1.66,1.29,1.06,0.95,0.89,0.85,0.82
1.75,1.32,1.07,0.95,0.88,0.83,0.8
1.8,1.31,1.03,0.89,0.82,0.77,0.74
1.68,1.23,0.98,0.86,0.79,0.74,0.71
1.77,1.33,1.07,0.95,0.88,0.83,0.8
1.56,1.2,0.99,0.89,0.83,0.79,0.76
1.8,1.33,1.06,0.93,0.85,0.81,0.77
1.91,1.37,1.07,0.93,0.85,0.8,0.76
1.91,1.37,1.07,0.93,0.85,0.8,0.76
1.67,1.23,0.98,0.85,0.79,0.74,0.71
1.69,1.31,1.08,0.97,0.91,0.86,0.83
1.67,1.29,1.07,0.96,0.9,0.86,0.83
1.76,1.27,1,0.87,0.79,0.75,0.71
1.6,1.21,0.98,0.87,0.8,0.76,0.73
1.66,1.26,1.02,0.91,0.84,0.8,0.77
1.66,1.26,1.02,0.91,0.84,0.8,0.77
1.71,1.24,0.98,0.85,0.78,0.74,0.71
1.83,1.36,1.09,0.96,0.89,0.84,0.81
1.74,1.32,1.08,0.96,0.89,0.84,0.81
1.68,1.31,1.08,0.97,0.91,0.86,0.84
1.7,1.27,1.02,0.9,0.83,0.79,0.76
1.71,1.26,1.01,0.89,0.82,0.77,0.74
1.85,1.33,1.04,0.9,0.83,0.78,0.74
1.85,1.33,1.04,0.9,0.83,0.78,0.74
1.6,1.21,0.99,0.87,0.81,0.77,0.74
1.8,1.31,1.04,0.9,0.83,0.78,0.75
1.69,1.26,1.01,0.89,0.82,0.77,0.74
1.55,1.2,0.99,0.88,0.82,0.79,0.76
1.82,1.36,1.09,0.96,0.88,0.84,0.81
1.8,1.29,1.01,0.87,0.79,0.75,0.71
1.75,1.32,1.06,0.94,0.87,0.82,0.79
1.84,1.32,1.03,0.89,0.81,0.76,0.73
1.69,1.3,1.08,0.96,0.9,0.86,0.83
1.66,1.25,1.01,0.89,0.82,0.78,0.75
1.68,1.25,1.01,0.89,0.82,0.78,0.75
1.56,1.2,0.98,0.88,0.82,0.78,0.75
1.8,1.31,1.04,0.91,0.83,0.79,0.75
1.65,1.25,1.02,0.9,0.83,0.79,0.76
1.69,1.27,1.03,0.91,0.84,0.8,0.77
1.74,1.26,0.99,0.86,0.79,0.74,0.71
1.77,1.29,1.01,0.88,0.81,0.76,0.73
1.77,1.29,1.01,0.88,0.81,0.76,0.73
1.65,1.23,0.99,0.87,0.81,0.76,0.73
1.64,1.26,1.03,0.92,0.85,0.81,0.78
1.69,1.3,1.07,0.96,0.89,0.85,0.82
1.73,1.28,1.02,0.9,0.83,0.78,0.75
1.75,1.25,0.98,0.85,0.77,0.73,0.69
1.8,1.35,1.1,0.97,0.9,0.85,0.82
1.79,1.3,1.03,0.89,0.82,0.77,0.74
1.76,1.33,1.09,0.96,0.89,0.85,0.82
1.69,1.28,1.05,0.93,0.86,0.82,0.79
1.73,1.25,0.97,0.84,0.77,0.72,0.69
1.7,1.32,1.09,0.97,0.91,0.87,0.84
1.7,1.24,0.98,0.86,0.79,0.74,0.71
1.87,1.35,1.06,0.92,0.84,0.79,0.75
1.75,1.29,1.03,0.9,0.83,0.79,0.75
1.72,1.26,1,0.88,0.8,0.76,0.73
1.72,1.26,1,0.88,0.8,0.76,0.73
1.53,1.2,1,0.89,0.83,0.8,0.77
1.7,1.25,0.99,0.87,0.79,0.75,0.72
1.82,1.35,1.08,0.95,0.87,0.82,0.79
1.68,1.25,1.01,0.89,0.82,0.78,0.75
1.71,1.23,0.96,0.83,0.76,0.72,0.68
1.75,1.31,1.05,0.93,0.86,0.81,0.78
1.65,1.24,1,0.89,0.82,0.78,0.75
1.65,1.24,1,0.89,0.82,0.78,0.75
1.62,1.26,1.04,0.94,0.87,0.83,0.81
1.67,1.3,1.07,0.96,0.89,0.85,0.82
1.72,1.3,1.05,0.93,0.86,0.81,0.78
1.77,1.27,0.99,0.86,0.78,0.74,0.71
1.63,1.24,1.01,0.89,0.83,0.79,0.76
1.73,1.25,0.98,0.85,0.78,0.73,0.7
1.74,1.31,1.06,0.94,0.87,0.82,0.79
1.71,1.24,0.97,0.85,0.78,0.73,0.7
1.71,1.24,0.97,0.85,0.78,0.73,0.7
1.62,1.25,1.03,0.92,0.85,0.81,0.79
1.57,1.22,1.01,0.91,0.85,0.81,0.78
1.71,1.32,1.09,0.97,0.9,0.86,0.83
1.84,1.34,1.06,0.92,0.84,0.79,0.76
1.84,1.34,1.06,0.92,0.84,0.79,0.76
1.89,1.36,1.06,0.92,0.84,0.79,0.75
1.53,1.19,0.99,0.89,0.83,0.79,0.77
1.87,1.37,1.08,0.95,0.87,0.82,0.79
1.87,1.37,1.08,0.95,0.87,0.82,0.79
1.84,1.31,1.02,0.88,0.81,0.76,0.72
1.74,1.34,1.1,0.98,0.91,0.87,0.84
1.74,1.25,0.98,0.85,0.77,0.73,0.7
1.73,1.29,1.04,0.91,0.84,0.8,0.77
1.73,1.29,1.04,0.91,0.84,0.8,0.77
1.72,1.28,1.03,0.91,0.84,0.79,0.76
1.77,1.32,1.06,0.93,0.86,0.81,0.78
1.82,1.33,1.06,0.93,0.85,0.8,0.77
1.77,1.27,0.99,0.86,0.78,0.74,0.7
1.75,1.28,1.02,0.89,0.82,0.77,0.74
1.73,1.31,1.06,0.94,0.87,0.82,0.79
1.64,1.22,0.98,0.87,0.8,0.76,0.73
1.56,1.21,1,0.89,0.83,0.8,0.77
1.79,1.34,1.08,0.95,0.88,0.83,0.8
1.79,1.34,1.08,0.95,0.88,0.83,0.8
1.87,1.36,1.07,0.93,0.86,0.81,0.77
1.71,1.33,1.1,0.99,0.92,0.88,0.85
1.71,1.24,0.98,0.85,0.78,0.74,0.71
1.6,1.21,0.98,0.87,0.81,0.77,0.74
1.75,1.26,0.98,0.85,0.77,0.73,0.69
1.6,1.24,1.03,0.92,0.86,0.82,0.79
1.65,1.22,0.97,0.85,0.78,0.74,0.71
1.65,1.22,0.97,0.85,0.78,0.74,0.71
1.65,1.22,0.97,0.85,0.78,0.74,0.71
1.84,1.33,1.04,0.9,0.82,0.77,0.74
1.7,1.31,1.08,0.97,0.9,0.86,0.83
1.7,1.31,1.08,0.97,0.9,0.86,0.83
1.7,1.31,1.08,0.97,0.9,0.86,0.83
1.67,1.27,1.04,0.93,0.86,0.82,0.79
1.81,1.33,1.05,0.92,0.84,0.8,0.76
1.59,1.24,1.03,0.92,0.86,0.82,0.8
1.82,1.31,1.03,0.89,0.81,0.77,0.73
1.74,1.31,1.06,0.94,0.87,0.83,0.8
1.71,1.23,0.96,0.83,0.76,0.71,0.68
1.71,1.23,0.96,0.83,0.76,0.71,0.68
1.82,1.34,1.06,0.93,0.85,0.8,0.77
1.65,1.28,1.05,0.94,0.88,0.84,0.81
1.69,1.29,1.06,0.94,0.88,0.83,0.8
1.73,1.29,1.04,0.91,0.84,0.8,0.77
1.78,1.34,1.09,0.96,0.89,0.85,0.82
1.78,1.34,1.09,0.96,0.89,0.85,0.82
1.78,1.34,1.09,0.96,0.89,0.85,0.82
1.66,1.22,0.97,0.85,0.78,0.74,0.71
1.61,1.22,0.99,0.88,0.81,0.77,0.74
1.63,1.23,0.99,0.88,0.81,0.77,0.74
1.77,1.31,1.05,0.92,0.85,0.8,0.77
1.74,1.31,1.06,0.93,0.86,0.82,0.79
1.75,1.35,1.11,0.99,0.92,0.88,0.84
1.7,1.3,1.07,0.95,0.88,0.84,0.81
1.87,1.36,1.07,0.93,0.85,0.8,0.76
1.76,1.31,1.05,0.92,0.85,0.8,0.77
1.77,1.28,1.01,0.87,0.8,0.75,0.72
1.8,1.31,1.03,0.89,0.82,0.77,0.74
1.86,1.35,1.06,0.93,0.85,0.8,0.77
1.75,1.31,1.06,0.93,0.86,0.82,0.79
1.61,1.22,0.99,0.88,0.81,0.77,0.75
1.71,1.28,1.04,0.92,0.85,0.8,0.77
1.7,1.31,1.08,0.97,0.9,0.86,0.83
1.8,1.3,1.02,0.88,0.8,0.76,0.72
1.68,1.27,1.03,0.91,0.84,0.8,0.77
1.69,1.27,1.03,0.91,0.84,0.8,0.77
1.77,1.31,1.05,0.92,0.85,0.8,0.77
1.82,1.31,1.03,0.89,0.81,0.77,0.73
1.64,1.22,0.98,0.86,0.8,0.76,0.73
1.74,1.31,1.06,0.94,0.87,0.82,0.79
1.89,1.36,1.06,0.92,0.84,0.79,0.75
1.69,1.31,1.08,0.97,0.9,0.86,0.83
1.87,1.34,1.04,0.9,0.82,0.77,0.74
1.67,1.25,1,0.88,0.82,0.77,0.74
1.61,1.25,1.03,0.92,0.86,0.82,0.79
1.62,1.23,1.01,0.9,0.83,0.79,0.77
1.76,1.26,0.98,0.85,0.78,0.73,0.7
1.87,1.34,1.05,0.91,0.83,0.78,0.74
